,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,days_diff
0,1,新品未開封Apple純正 AirPods (第2世代) with Charging Case 2019年 ブルートゥースイヤホン MV7N2J/A ,19500,19500,1,2019-06-02 10:54:35,2019-06-02 12:27:58,0 days 01:33:23.000000000,0
1,1,■■■■■送料無料■最新モデル第2世代■Apple AirPods■MV7N2J/A■正規純正品■新品未開封■■■■■■■,20477,20477,1,2019-06-01 05:08:08,2019-06-02 11:15:25,1 days 06:07:17.000000000,1
2,1,新品　未開封　第2世代 AirPods MV7N2J/A 送料無料,18500,18500,1,2019-06-02 09:33:42,2019-06-02 10:23:48,0 days 00:50:06.000000000,0
3,1,★即決 新品未開封 送料無料★ APPLE 正規品 AirPods (第2世代) with Charging Case ワイヤレスイヤホン MV7N2J/A新型,100,20000,1,2019-05-31 13:35:56,2019-06-02 10:01:21,1 days 20:25:25.000000000,1
4,1,★即日発送(送料無料)★Apple純正品(正規品)★新品(未使用品)★充電ケース(A1602)のみ★AirPods(第2世代)★,7780,7780,1,2019-06-01 05:13:28,2019-06-02 08:38:59,1 days 03:25:31.000000000,1
5,0,新品未開封Apple純正 AirPods (第2世代) with Charging Case 2019年 ブルートゥースイヤホン MV7N2J/A,19390,19390,1,2019-05-31 00:02:34,2019-06-02 08:20:26,2 days 08:17:52.000000000,2
6,1,【送料無料】【新品】　AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】　アップル　Apple,19798,19798,1,2019-06-01 19:48:13,2019-06-02 08:08:12,0 days 12:19:59.000000000,0
7,1,(1)新品未使用未開封 アップル Apple MV7N2J/A [AirPods 第2世代] 2019年6月購入,1,19990,1,2019-06-02 00:24:19,2019-06-02 07:11:03,0 days 06:46:44.000000000,0
8,0,新品未開封 AirPods 第2世代 Apple MRXJ2J/A AirPods with Wireless Charging Case 同梱可,24800,25400,1,2019-05-26 15:14:17,2019-06-02 00:14:17,6 days 09:00:00.000000000,6
9,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,8300,8300,1,2019-05-31 12:12:02,2019-06-01 20:38:42,1 days 08:26:40.000000000,1
10,0,AirPods2 第2世代 エアポッズ2 Apple アップル MV7N2J/A 新品,21000,21000,0,2019-05-31 15:36:09,2019-06-01 14:34:13,0 days 22:58:04.000000000,0
11,1,☆新品☆ アップル Apple AirPods with Charging Case MV7N2J/A 第２世代 ワイヤレスイヤホン 送料無料！,14990,18990,1,2019-06-01 09:17:01,2019-06-01 13:30:34,0 days 04:13:33.000000000,0
12,1,【送料無料】【新品未使用品】第２世代Apple純正 airpods右のみR 国内正規品 右耳,7600,7600,1,2019-05-29 14:10:52,2019-06-01 12:30:02,2 days 22:19:10.000000000,2
13,0,第2世代 新品未開封 Apple AirPods with Charging Case MV7N2J/A ②,10000,19500,1,2019-05-29 07:02:26,2019-06-01 08:51:29,3 days 01:49:03.000000000,3
14,0,新品 未開封 Apple AirPods with ChargingCase (第2世代) ワイヤレスイヤホン MV7N2J/A S5-76 ☆即日発送☆,19400,19400,1,2019-05-31 23:55:32,2019-06-01 08:32:38,0 days 08:37:06.000000000,0
15,1,送料無料　即決　新品　新製品 Apple アップル　第2世代　AirPods （エアポッド） with Charging Case　MV7N2J/A　ワイヤレスイヤホン,20980,20980,1,2019-05-31 11:22:33,2019-06-01 08:29:28,0 days 21:06:55.000000000,0
16,0,第2世代　新品未開封　Apple AirPods　with Charging Case　MV7N2J/A,10000,19500,1,2019-05-29 07:00:20,2019-06-01 03:55:14,2 days 20:54:54.000000000,2
17,0,新品 未開封 Apple AirPods with ChargingCase (第2世代) ワイヤレスイヤホン MV7N2J/A S5-76 即日発送,19400,19400,1,2019-05-31 23:55:01,2019-06-01 00:03:27,0 days 00:08:26.000000000,0
18,1,★新品・即発送★AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A ,20700,20800,1,2019-05-29 22:20:24,2019-05-31 14:29:07,1 days 16:08:43.000000000,1
19,0,新品 アップル Apple AirPods エアーポッズ 第2世代 with Charging Case 2019年 新型 MV7N2J/A,19500,19500,1,2019-05-31 11:54:58,2019-05-31 14:00:14,0 days 02:05:16.000000000,0
20,0,第2世代 新品未開封 Apple AirPods with Charging Case MV7N2J/A ③,10000,19500,1,2019-05-31 12:47:16,2019-05-31 13:50:51,0 days 01:03:35.000000000,0
21,0,新品 未開封 Apple AirPods with ChargingCase (第2世代) ワイヤレスイヤホン MV7N2J/A S5-76 即日発送,19400,19400,1,2019-05-29 23:06:34,2019-05-30 11:31:56,0 days 12:25:22.000000000,0
22,0,新品 未開封 Apple AirPods with ChargingCase (第2世代) ワイヤレスイヤホン MV7N2J/A S5-76 ☆即日発送☆,19400,19400,1,2019-05-29 23:05:11,2019-05-30 08:29:45,0 days 09:24:34.000000000,0
23,0,新品 未開封 Apple AirPods with ChargingCase (第2世代) ワイヤレスイヤホン MV7N2J/A S5-76 即日発送,19400,19400,1,2019-05-29 13:33:35,2019-05-29 22:43:34,0 days 09:09:59.000000000,0
24,0,即決！ Apple AirPods with Wireless Charging Case (第2世代・最新モデル) MRXJ2J/A 新品未開封,24800,24800,1,2019-05-25 15:16:43,2019-05-29 12:16:43,3 days 21:00:00.000000000,3
25,1,【送料無料 】新品未開封　Apple AirPods 第２世代　正規品 エアポッズ Bluetooth ③,20000,20000,1,2019-05-28 12:29:06,2019-05-29 12:01:30,0 days 23:32:24.000000000,0
26,0,【新品未開封】Apple AirPods 第２世代 MRXJ2J/A,24000,24000,1,2019-05-28 22:16:57,2019-05-29 11:38:39,0 days 13:21:42.000000000,0
27,0,Apple純正 AirPods 第2世代 左 イヤホン MV7N2J/A 左耳のみ 新品未使用品,7500,7500,1,2019-05-28 12:53:12,2019-05-29 09:44:43,0 days 20:51:31.000000000,0
28,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7500,7500,1,2019-05-28 12:52:50,2019-05-28 23:26:17,0 days 10:33:27.000000000,0
