,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,bidders,setsumei,good,bad,capture_count
0,0,美品 Apple AirPods 第２世代 AirPods with Charging Case メーカー保証 2020年7月末まで　Lightningケーブル新品　レザータイプケース付,10000,13000,0,2019-10-30 11:50:36,2019-11-04 11:44:00,119.0,7,商品詳細       美品 Apple AirPods 第２世代 AirPods with Charging Case  メーカー保証 2020年7月末まで　Lightningケーブル新品　レザータイプケース付    注意事項　【必ず確認頂きますようお願いします】   ＊　付属品や必要なパーツは落札者様でご用意頂くようにお願いいたします  ＊　出品写真が全ての商品になります　必要部品などの確認を必ずお願いします  ＊　取り外しまで完動品でしたが、その後の取り付けによる動作不良は保証いたしかねますのでご了承ください  ＊　説明文や写真にない、傷、破損、劣化、欠品、汚れ等がある場合もありますのであらかじめご了承ください  ＊　いかなる状況でも、ノークレームノーリターンを必ずお守りください  ＊　商品の交換返品は一切承ることはできません  ＊　保証期間はメーカーサイト確認による推定になります    【商品概要等】   Apple　  AirPods 第２世代　  AirPods with Charging Case     Lightningケーブル新品　  レザータイプケース付   AirPodsケース本体を包む新品時の梱包保護フィルムもそのままです。  化粧箱も化粧フィルムは表面のみ残しています。（開梱のため裏は綺麗に切っています）  フィルムはおまけです。   使用回数が非常に少ない商品です。   メーカー保証　2020年7月28日  品番　MV7N2J/A   AirPodsセンサー（左右各）：  デュアルビームフォーミングマイクロフォン  デュアル光学センサー  動きを感知する加速度センサー  音声を感知する加速度センサー   電源  AirPods with Charging Case：24時間以上の再生時間、最大18時間の連続通話時間  AirPods（1回の充電）：最大5時間の再生時間、最大3時間の連続通話時間  Charging Caseで15分充電：最大3時間の再生時間、または最大2時間の連続通話時間       特記事項、注意事項　(必ずお読みください）       ノークレームノーリターンでお願い致します   オークション開催中の要項以外での取引のお願いは受け付けられません  領収書発行はできませんのでご了承ください   オークションは写真での判断になるため神経質な方はご遠慮ください  商品問い合わせは事前に質問欄よりお願いします  取引ナビ始めのご連絡より２４時間以内に返信頂ける方のみ入札参加お願い致します  ご連絡がつかない場合は事前に取引中止のご連絡の上削除いたしますが、取引中止後の一方的な  　入金の上での取引継続は受付いたしません     支払い方法       Yahoo!かんたん決済    ＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊  上記以外のお支払い方法は受け付けられません。ご了承ください。,771,10,10
1,1,新品未使用 AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 Bluetooth MV7N2J/A,18000,18000,1,2019-11-02 04:07:11,2019-11-04 09:55:16,53.0,1,新品未使用品 AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 ブルートゥースイヤホン フルワイヤレス インナーイヤー型 MV7N2J/A,16,0,2
2,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケースのみ 新品未使用品,6900,6900,1,2019-11-02 12:24:57,2019-11-04 03:05:42,38.0,1,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケースのみ 新品未使用品Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケースのみ 新品未使用品になります。※充電ケースのみになります。イヤホンはありません。ご注意下さい。配送は以下にて行います。レターパックライト 全国一律送料 370円（追跡番号有り 保証無し）レターパックプラス 全国一律送料520円（追跡番号有り 保証無し）お支払いはヤフオク簡単決済のみになります。,2744,10,0
3,0,正規 Apple AirPods with Charging Case MV7N2J/A アップル 第2世代 エアポッズ Bluetooth ワイヤレスイヤホン 箱 ケーブル付属,12000,12500,0,2019-10-28 06:56:10,2019-11-03 13:15:00,150.0,2,商品説明    正規 Apple AirPods with Charging Case MV7N2J/A を出品いたします。   多少の使用感ございますので、ご了承いただきご入札ください。  お探しの方は是非この機会にどうぞ！   その他商品の状態・金額のご相談等がございましたら、ぜひお電話にてご相談ください♪  買取専門店・おたからカウルス TEL 097-574-5242  (受付時間 平日10:00～19:00、日・祝 18:00迄)     詳細      【製品】Apple AirPods 【製品型番】MV7N2J/A 【カラー】ホワイト       状態説明    ◆通常にお使い頂けるお品。   ご使用に支障が無い程度の多少の薄いスレ・小傷は見られます。  その他に目立つダメージの無い状態でございます。  その他商品の状態・金額のご相談等がございましたら、ぜひお電話にてご相談ください♪  TEL 097-574-5242  (受付時間 平日10:00～19:00、日・祝 18:00迄)     付属品     箱・ライトニングケーブル・説明冊子     お支払い方法・発送について   ■お支払い金額について 《送料無料》表記以外の出品商品に関しましては、落札価格(消費税込み)＋送料のみ金額になります。  ■お支払い方法について ・ヤフーかんたん決済 ・銀行振込(大分みらい信用金庫) ★ヤフーかんたん決済でのお支払いの場合、17時迄に入金手続き確定で同日中に発送致します。 ★銀行振込の場合、15時迄に当店口座への着金が確認できましたら、同日中に発送致します。  ■発送方法について (レターパックプラス)     ご注意事項   ■キャンセル・返品について 当店で出品している商品はすべて鑑定済の本物になりますので、ご安心下さると幸いです。 万が一お品が非正規品の場合にのみ、速やかに全額ご返金しますことを皆様にお約束致しております。 尚、その場合の確認方法としましては、当該ブランドのリペアサービスをお受け出来ないものとさせて頂きます。 恐れ入りますが、それ以外の返品・交換のご要望につきましては、お受け致しませんので予めご了承の上よろしくお願い申し上げます。   ■ご入札・ご落札前に ◆撮影環境・ディスプレイの違い等により、画像と現物の色味が多少異なる可能性がございます。 ◆ご落札後の質問・金額のご相談につきましてはお応え出来ませんので、必ず落札・入札前にご相談ください。  ■お取引について ◆落札後はオーダーフォームにてお客様情報の入力をお願致します。 ◆商品落札後３日以内にご連絡・ご入金頂けなかったお客様は、大変申し訳ございませんが落札者様都合のキャンセルとさせて頂きます。 尚、その場合にはヤフーより自動的に『非常に悪い』の評価がつきますので、予めご了承ください     店舗情報   買取専門店 おたからカウルス 〒870-0021 大分県大分市府内町1丁目2-6 府内壱番館ビル２F 【電話番号】 097-574-5242 【営業時間】 10:00～19:00 (日曜日・祝日は18:00まで) 【古物営業許可】 大分県公安委員会許可 第941010003077号  その他商品の状態・金額のご相談等がございましたら、ぜひお電話にてご相談ください♪ TEL 097-574-5242  (受付時間 平日10:00～19:00、日・祝 18:00迄),215,2,10
4,0,正規 Apple AirPods 第2世代 MR8U2J/A ワイヤレス充電 アップル エアポッズ Bluetooth Qi Wireless Charging Case for AirPods,7000,7000,0,2019-10-28 06:53:35,2019-11-03 13:13:24,150.0,1,商品説明    正規 Apple AirPods ワイヤレス充電ケースのみ 第2世代 MR8U2J/Aを出品いたします。   Apple AirPods Wireless Charging Caseのみです。イヤホン本体はありません。  多少の使用感ございますので、ご了承いただきご入札ください。  充電ケースのみでございますので、ケースをなくした、壊れたという方にお勧めです。  お持ちのAirPods本体を収納して、ケース背面ボタンを長押しすれば再ペアリング可能です♪  お探しの方は是非この機会にどうぞ！   その他商品の状態・金額のご相談等がございましたら、ぜひお電話にてご相談ください♪  買取専門店・おたからカウルス TEL 097-574-5242  (受付時間 平日10:00～19:00、日・祝 18:00迄)     詳細      【製品】Apple AirPods 【製品型番】MR8U2J/A 【カラー】ホワイト       状態説明    ◆通常にお使い頂けるお品。   ご使用に支障が無い程度の多少の薄いスレ・小傷は見られます。  その他に目立つダメージの無い状態でございます。  その他商品の状態・金額のご相談等がございましたら、ぜひお電話にてご相談ください♪  TEL 097-574-5242  (受付時間 平日10:00～19:00、日・祝 18:00迄)     付属品     箱・説明冊子     お支払い方法・発送について   ■お支払い金額について 《送料無料》表記以外の出品商品に関しましては、落札価格(消費税込み)＋送料のみ金額になります。  ■お支払い方法について ・ヤフーかんたん決済 ・銀行振込(大分みらい信用金庫) ★ヤフーかんたん決済でのお支払いの場合、17時迄に入金手続き確定で同日中に発送致します。 ★銀行振込の場合、15時迄に当店口座への着金が確認できましたら、同日中に発送致します。  ■発送方法について (レターパックプラス)     ご注意事項   ■キャンセル・返品について 当店で出品している商品はすべて鑑定済の本物になりますので、ご安心下さると幸いです。 万が一お品が非正規品の場合にのみ、速やかに全額ご返金しますことを皆様にお約束致しております。 尚、その場合の確認方法としましては、当該ブランドのリペアサービスをお受け出来ないものとさせて頂きます。 恐れ入りますが、それ以外の返品・交換のご要望につきましては、お受け致しませんので予めご了承の上よろしくお願い申し上げます。   ■ご入札・ご落札前に ◆撮影環境・ディスプレイの違い等により、画像と現物の色味が多少異なる可能性がございます。 ◆ご落札後の質問・金額のご相談につきましてはお応え出来ませんので、必ず落札・入札前にご相談ください。  ■お取引について ◆落札後はオーダーフォームにてお客様情報の入力をお願致します。 ◆商品落札後３日以内にご連絡・ご入金頂けなかったお客様は、大変申し訳ございませんが落札者様都合のキャンセルとさせて頂きます。 尚、その場合にはヤフーより自動的に『非常に悪い』の評価がつきますので、予めご了承ください     店舗情報   買取専門店 おたからカウルス 〒870-0021 大分県大分市府内町1丁目2-6 府内壱番館ビル２F 【電話番号】 097-574-5242 【営業時間】 10:00～19:00 (日曜日・祝日は18:00まで) 【古物営業許可】 大分県公安委員会許可 第941010003077号  その他商品の状態・金額のご相談等がございましたら、ぜひお電話にてご相談ください♪ TEL 097-574-5242  (受付時間 平日10:00～19:00、日・祝 18:00迄),215,2,0
5,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,19000,1,2019-10-31 09:55:34,2019-11-03 12:55:34,75.0,41,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 ブルートゥースイヤホン フルワイヤレス インナーイヤー型 MV7N2J/A 【純正】 [ワイヤレス(左右分離) /Bluetooth]商品の説明の通りです。ご理解ある方よろしくお願い申し上げます。* ～商品説明～*さらに魔法に近づきました。新しいAirPodsはワイヤレスヘッドフォンの体験を一新します。ケースから取り出すだけで、あなたのiPhone、Apple Watch、iPad、Macと一緒に使えます。ワンタップのシンプルな設定で、AirPodsは魔法のように機能します。自動的にオンになり、いつでも接続された状態になります。耳に装着されたことを感知するので、耳から外すと一時停止します。AirPodsは両耳でも片耳だけでも使えます。音量を調節したり、曲を変えたり、電話をかけたり、道順を調べたい時は「Hey Siri」と声をかけて頼むだけ。ダブルタップして、音楽のトラックやPodcastの番組を再生したりスキップすることもできます。AirPodsは1回の充電で5時間の再生1と3時間の通話ができます2。しかも24時間以上聴き続けられるように複数回充電できる充電ケースもついているので、AirPodsはあなたの毎日にしっかりついていきます3。急いでいる時は、ケースで15分充電するだけで、3時間の再生4または2時間の通話ができるようになります5。まったく新しいApple H1ヘッドフォンチップで駆動するAirPodsは、光学センサーとモーション加速度センサーによって、あなたの耳に装着されたことを感知します。両耳で聴く時も、片耳だけの場合も、H1チップはイヤフォンへのオーディオの送信とマイクロフォンの接続を自動で行います。通話中やSiriに話しかけている時には、音声を検知するもう一つの加速度センサーがビームフォーミングマイクロフォンと連係しながら、周囲のノイズを取り除いてあなたの声に狙いを定めます。★゜'・:*:・'゜☆。.:*:・'*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★★新品・未使用☆頂き物、かつ個人所有につき、神経質な方のご入札はご遠慮ください。★落札後の返品、キャンセルはご遠慮ください。★落札後、落札者様の都合で以前にキャンセルされた方は自動的にキャンセルさせて頂きますのでご理解ご了承願います。送料込み★ノークレーム、ノーリターンご理解ご了承頂ける方宜しくお願い致します。★悪い評価５以上の方は削除させて頂きますのでご了承願います。★゜'・:*:・'゜☆。.:*:・'*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★,115,0,0
6,1,[新品未開封品] Apple／第2世代 AirPods with Charging Case (MV7N2J/A)【送料無料】,16600,17600,1,2019-11-01 12:37:38,2019-11-03 12:37:38,48.0,1,□ 商品説明 □        ☆商品名☆    Apple／第2世代 AirPods with Charging Case (MV7N2J/A)      ☆型番☆    MV7N2J/A     ☆状態☆    新品未開封品です。丁寧に梱包し迅速に発送致します。         □ 発送について □        ☆送料負担☆   出品者     ☆発送方法☆    ヤフネコ! 宅急便      ☆海外発送☆   対応しません        □ 支払いについて □       ☆決済方法☆    Yahoo!かんたん決済         □ 備考 □       商品に関しご質問がございましたら、お気軽にご質問ください。,675,3,3
7,1,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A④,1,18000,0,2019-10-31 04:06:22,2019-11-03 11:05:56,78.0,32,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A新品・未開封品です。レターパックプラスYahoo!かんたん決済（詳細）ノークレーム・ノーリターンでお願いいたします。この商品説明は オークション落札相場サイト「オークファン」出品テンプレート で作成されています。Powered by aucfan.com,1071,4,0
8,1,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A③,1,17500,0,2019-10-31 04:05:54,2019-11-03 11:05:24,78.0,27,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A新品・未開封品です。レターパックプラスYahoo!かんたん決済（詳細）ノークレーム・ノーリターンでお願いいたします。この商品説明は オークション落札相場サイト「オークファン」出品テンプレート で作成されています。Powered by aucfan.com,1071,4,0
9,1,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A②,1,17500,0,2019-10-31 04:05:22,2019-11-03 11:04:52,78.0,34,1円～新品 Apple(アップル)AirPods with Wireless Charging Case 第2世代 MRXJ2J/A新品・未開封品です。レターパックプラスYahoo!かんたん決済（詳細）ノークレーム・ノーリターンでお願いいたします。この商品説明は オークション落札相場サイト「オークファン」出品テンプレート で作成されています。Powered by aucfan.com,1071,4,0
