,good,normal,bad,status,charge,method,region,price_list,sold,image_count,description
0,14,0,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),福岡県,1480,0,8.0,"大人気ダッフィーフレンズのステラルーの
Airpodsケース
ケースを付けたまま充電もできます❁︎

可愛いお揃いのストラップ付き!!

※こちらの商品はケースのみとなります。
本体は付属しておりません。

❁︎新品未使用・送料無料❁︎

❁︎対応機種❁︎

・Airpods第一世代
・Airpods第二世代


❁︎素材❁︎

・シリコン


※こちらは海外製品になります。
日本製とは検査基準が異なりますので、製造過程における
多少のインク汚れやプリントミス、傷などがある場合がございます。
海外製品にご理解頂ける方のみのご購入をお願いします。

❁︎配送方法❁︎
・普通郵便（定形外）
追加料金にて匿名配送への変更も可能ですので詳しくはお問合せください。

お客様都合での返金返品はお受けしておりませんのでご希望の種類に
お間違いがないか必ずご確認ください。

#Airpods　#Airpodsケース　#Airpodsカバー　#ディズニー　#ダッフィーフレンズ　#ステラルー　#Apple　#アップル　#エアポッズ"
1,192,6,1,新品、未使用,送料込み(出品者負担),らくらくメルカリ便,山口県,19999,0,2.0,"★即日発送（早ければ数時間以内に即発送します！）
★匿名配送


安心の配送事故補償付きのメルカリ便にて
緩衝材でしっかりと保護し、発送します。
（遠方でなければ基本翌日到着。交通状況、天候などによって到着が遅れる場合もごく稀にあります）


【値引き・取置き不可】
【即購入OK】

ーーーーーーーーーーーーーーーーーーーーーーーー


AirPods with Charging Case  第二世代
製品番号：MV7N2J/A
Apple純正
日本国内正規品
PSEマーク取得済製品
ワイヤレス充電非対応モデル


購入
2019年9月
新品未開封
（箱のフィルムも剥がしていない状態です。
3枚目の写真は出品物とは別個体で、出品物はもちろん新品未開封品です）


万一の初期不良の場合はアップルサポートへお問い合わせ下さい。
（アップル社製品は直接のメーカー対応となります）
ご購入後のキャンセル、問題ない商品の返品などはお受け出来ませんのでご了承の上ご購入ください。


ーーーーーーーーーーーーーーーーーーーーーーーー

当ページ文章の【無断転載】【一部無断利用】等の行為は見つけ次第
【通報】致します
⚠メルカリガイドライン【禁止行為】
・他会員の写真、文章などを無断で使用すること"
2,15,0,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),奈良県,1600,1,4.0,"新品未開封
2019年新型 Airpods第2世代   Airpods2  新型Airpods     Airpods第二世代
ワイアレスイヤホン    エアーポッズ    アップルApple

最先端のブルートゥース5.0が搭載されて、従来のBluetoothバージョンより高速化して、2倍のデータ送信速度と8倍のデータ転送能力で、15M以内の距離でも安定した音声を伝送します。

CVC6.0ノイズキャンセル技術が搭載されるため、通話時外からのノイズを軽減し、よりクリアなサウンドで通話できます。一回のフル充電だけで、最大6時間連続通話?音楽再生と360時間の待機が実現できます。また、接続したデバイスにはバッテリー残量も表示できます。

充電ボックスのふたを開けて電話に近づけると、電話の画面に接続ボタンが表示され、接続をクリックします。

音も粒も感じられる程クリアで、純音信号をそのまま高速伝送高音質を実現、明瞭な高音域と豊かな中域、迫力の重低音を再現、どの音域もクリアな高音質でバランスがよく聞きやすくなっています。"
3,505,2,0,新品、未使用,送料込み(出品者負担),らくらくメルカリ便,東京都,18999,1,3.0,"Apple MV7N2J/A Airpods with Charging Case 第2世代 2019年最新版 新品未開封 即日発送可能です。

即購入OK、匿名・追跡・補償ありです。

2019年3月発売の最新モデルです。
ワイヤレス充電モデルではありません。 

iPhoneはもちろん、iPod touchやApple Watch、Macbookなどにも対応。iOS12.2以上。

2019年10月10日に大手通販で購入しました。
国内正規品です。

新品未開封、購入時のビニール外装も開けてません。

外箱に記載されたシリアル番号で、ご自身の登録から１年間のメーカー保証を受けることが可能です。

即日発送可能。17時までの購入、支払完了で即日発送します。土日含む。17時以降の場合は翌日になります。

送料無料、匿名、追跡可能、補償ありのメルカリ便発送。

コンビニ受取ご希望の場合、+300円でゆうゆうメルカリ便に変更できます。必要な場合は購入前にコメント下さい。

お値下げ不可です。お値下げ希望のコメントはお返事せず削除します。



#Airpods2 #新型Airpods #第二世代 #エアーポッド #アップル #Apple #純正品 #正規品 #Chargecase #エアーポッズ #mac #ipad #イヤホン #第2世代"
4,3,0,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),福岡県,1260,0,6.0,"大人気トイストーリーのリトルグリーンメン♪
こちらはAirpodsケースになります(*ˊᵕˋ*)
ケースを付けたまま充電も可能です★

可愛いお揃いのストラップ付き♡

※こちらの商品はケースのみとなります。
本体は付属しておりません。

★新品未使用・送料無料★


◆対応機種◆

・Airpods第一世代
・Airpods第二世代

◆素材◆

・シリコン


⚠️こちらは海外製品になります。
日本製とは検査基準が異なりますので、製造過程における
多少のインク汚れやプリントミス、傷などがある場合がございます。
海外製品にご理解頂ける方のみのご購入をお願いします。
出品前と発送前に検品を行っておりますが、素人ですのでご理解下さい。

◆配送方法◆
・普通郵便（定形外）
追加料金にて匿名配送への変更も可能ですので詳しくはお問合せください。

お客様都合での返金返品はお受けしておりませんのでご希望の種類にお間違いがないか必ずご確認ください。

#Airpods　#Airpodsケース　#Airpodsカバー　#ディズニー　#トイストーリー　#エイリアン　#リトルグリーンメン　#Apple　#アップル　#エアポッズ"
5,1239,2,0,新品、未使用,送料込み(出品者負担),らくらくメルカリ便,大阪府,18500,1,3.0,"AirPods with Charging Case  第二世代
製品番号：MV7N2J/A
Apple純正
日本国内正規品

ワイヤレス充電非対応モデル

2019年10月購入
新品未開封でございます。
100％正規品でございますので、ご安心ください。

よろしくお願い致します"
6,47,1,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),埼玉県,1000,1,,"AirPodsケース
第一世代、第二世代に適用。
新品未使用ですが箱などはありません。
とっても可愛いです。
#AirPodsカバー#エアポッズケース
#ダッフィー#Disney"
7,276,2,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),福岡県,999,0,7.0,"※※こちらは訳ありB級品です※※


      ☆訳あり部分について☆

詳細は2〜4枚目の画像をご覧ください。
プリントミスや作りの粗さがあります。
そのため新品未使用品ですが、
格安で出品しております。

訳あり品のため、返品返金、交換等は
一切行っておりません。
必ず説明文を最後までお読み頂き、
ご理解の上ご購入をお願いします。
即購入の場合は訳あり品にご理解いただいたと
判断しますのでご了承ください。


♡大人気ミニオンズのAirpodsケース♡
★通常品も1,320円で販売中！★
♡ケースを付けたまま充電も可能です♡

カバーとお揃いのストラップ付／(^o^)＼

》こちらはボブ(二つ目)の出品ページです。


★新品未使用・送料無料★

◆取り扱いキャラクター◆

・ボブ（二つ目）

◆対応機種◆

・Airpods第一世代
・Airpods第二世代

◆素材◆

・シリコン

【注意事項】

※ ※こちらの商品はケースのみとなります。
本体は付属しておりません。

※※こちらは海外製品になります。
日本製とは検査基準が異なりますので、
製造過程における多少のインク汚れやプリントミス
傷などがある場合がございます。
“ 2〜4枚目”の画像をご確認下さい！

※※海外製品にご理解頂ける方のみの
ご購入をお願いします。

◆配送方法◆
・普通郵便（定形外）
追加料金にて匿名配送への変更も可能ですので
詳しくはお問合せください。

◆返金返品について◆
お客様都合での返金返品はお受けしておりませんので
ご希望の種類にお間違いがないか必ずご確認ください。


#Airpods　#Airpodsケース　#Airpodsカバー 
#ミニオンズ　#ミニオン　#スチュアート　
#ボブ  #Apple　#アップル　#エアポッズ"
8,674,10,2,新品、未使用,送料込み(出品者負担),未定,東京都,450,1,7.0,"===================
新品未使用
全国送料無料　　　　　　　　　
コメ無し即買い歓迎！
===================


【取り扱いAirPodsケース】
#CIELOairpodsケース

ホワイト/パステルピンク/ショッキングピンク/ライトグリーン/ライトブルー/イエロー/オレンジ/レッド/パープル/ブラック
上記にて各種カラー出品しております。


【商品説明】
シリコン素材の柔らかいairpods専用ケースです。

軽くてシンプルなデザインの為外見を損なわず、エアーポッズを保護してくれます。
下部に充電用の穴が開いているので、カバーを外さずそのままケーブル充電が可能です。

また、カラビナも付属致しますので、カバンやリュックに付ける事が出来携帯性に優れます。


【製品仕様】
■商品内容： AirPods シリコンケース カラビナ付き
■カラー：ライトグリーン
■素材：シリコン
■ 対応機種： 第一世代/第二世代
※i10twsなどairpodsと同じサイズの物にも使用可能です。

【発送について】
発送は基本的に1-2日以内に発送させていただきます。
本商品は普通郵便もしくはクリックポストの簡易包装での発送を予定しております。

【注意事項】
本商品は海外品となります。
新品未開封の商品となり検品は行なっておりますが、汚れ、細かな傷などが生じている可能性があります。
予めご理解の上、ご購入のほうよろしくお願い申し上げます。



#i11tws #i12tws #i9tws #i7stws #エアーポッズ #エアーポッヅ"
9,907,20,12,新品、未使用,送料込み(出品者負担),らくらくメルカリ便,北海道,19700,0,3.0,"Apple MV7N2J/A Airpods with Charging Case 
Airpodsの第2世代になります,ワイアレス充電ではございません。

2019年10月に購入いたしました。 
未開封、未使用の品になります。 
アップル製品はシリアルナンバーにて製品管理されておりますので 
１年のメーカー保証を受けることが可能です。
（初期不良に関してはメーカーに問い合わせください、当ショップでは返品/返金対応は出来ませんのでご了承下さい）

当方取引実績1000件以上です、（多少悪いついておりますが）安心して取引出来るかと思います。どうぞよろしくお願いいたします。

#Airpods2 
#新型Airpods 
#Airpods第二世代 
#ワイアレスイヤホン 
#えあーぽっず 
#エアーポッド 
#アップル 
#Apple 
#純正品 
#正規品 
#Chargecase 
#エアーポッズ 
#mac 
#ipad 
#イヤホン 
#第2世代"
