,good,normal,bad,status,charge,method,region,price_list,sold,image_count,description
0,130,0,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),千葉県,1350,0,,"ご覧頂き、ありがとうございます
Airpodsケース  

コメント不要即購入大歓迎

Airpodsケース    アップル　AirPods カバー 


◯シリコン素材
◯新品未使用、送料無料

☆対応機種☆
・Airpods第一世代
・Airpods第二世代

(注意事項)
こちらの商品は、海外製品です。

光の加減等によって、お色目が多少異なる場合がございます。予めご了承ください。

ご理解のある方のご購入お待ちしてます
何かご不明ありましたらお気軽にコメント下さい！

#airpodsケース
#エアーポッズケース
#エアポッズケース
#かわいいケース
#お洒落ケース
#エアーポッズ 
#iPhone 
#エアーポッズカバー 
#AirPodsケース 
#AirPodsカバー 
#シリコンカバー 
#Bluetooth 
#アップル 
#イヤフォン"
1,1,0,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),福岡県,1280,1,6.0,"★こちらはリラックマの出品ページです★
※即購入の場合、↑こちらになりますので
ご注意下さい！！

他をご希望の方はお問い合わせ頂くか、プロフィールよりご希望のページでご購入下さい。

□□□□□□□□□□□□□□□□□□□

可愛いリラックマとコリラックマのAirPodsケース♪
しっかり本体を保護してくれます♡
カラビナが付いてるのでとっても便利です♪

※※本体は付属しておりません※※

＊＊対応機種＊＊

・AirPods第一世代
・AirPods第二世代

＊＊素材＊＊

・シリコン

※こちらは海外製品の為、
新品未使用品でも製造過程における
インク汚れやプリントミス、傷などがある場合がございます。
海外製品にご理解頂ける方のみのご購入をお願いします。

返金返品はお受けしておりませんのでご希望のデザインにお間違いがないか必ずご確認ください。

＊＊配送方法＊＊
・普通郵便（定形外）
追加料金にて匿名配送への変更も可能です。詳しくはお問合せください。

#リラックマ　#コリラックマ　#可愛い　#アップル　#Apple  #インスタ　#AirPods #AirPodsケース　#AirPodsカバー"
2,19,0,0,目立った傷や汚れなし,送料込み(出品者負担),らくらくメルカリ便,東京都,13500,1,6.0,"AppleのAirPods （第二世代）を出品いたします。
5ヶ月前に購入したのですが、AirpodsProをいただく機会があり出品することにいたしました。
本体に加えまして、箱と充電ケーブル（未使用）もおつけいたします。
目立った傷や汚れはないのですが、新品ではありませんのでご容赦ください。
動作確認はしております。
ご不明点があればコメントよろしくお願いいたします。"
3,12,0,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),福岡県,1280,1,4.0,"【こちらはコリラックマのページです】
※※※即購入の場合はこちらになります※※※

他の種類をご希望の方はコメントにてお問い合わせ頂くか、プロフィールよりご希望のページでご購入下さいm(_ _)m

可愛いコリラックマのAirPodsケース( ⁎ᵕᴗᵕ⁎ )❤︎
しっかりした素材で本体を保護してくれます♪
便利なカラビナ付き！


⚠️AirPods本体は付属しておりません！

★新品未使用・送料無料★

◆対応機種◆

・AirPods第一世代
・AirPods第二世代


◆取り扱いキャラクター◆

・リラックマ
・コリラックマ

◆素材◆

・シリコン

※こちらは海外製品になります。
日本製とは検査基準が異なりますので、製造過程における
インク汚れやプリントミス、傷などがある場合がございます。
海外製品にご理解頂ける方のみのご購入をお願いします。

◆配送方法◆
・普通郵便（定形外）
追加料金にて匿名配送への変更も可能ですので詳しくはお問合せください。

お客様都合での返金返品はお受けしておりませんのでご希望の機種やデザインにお間違いがないか必ずご確認ください。

#リラックマ　#コリラックマ　#可愛い　#アップル　#Apple  #インスタ　#AirPods #AirPodsケース　#AirPodsカバー"
4,99,3,1,新品、未使用,送料込み(出品者負担),未定,未定,1280,1,4.0,"即購入大歓迎！！



まっくろくろすけ
のエアポッズカバー❤︎❤︎



エアポッズをしっかり保護❤️
第一世代第二世代兼用、高品質シリコンでしっかり本体を保護❤️

カバー付けたまま充電可能です！！カラビナ付きでバックに付けても可愛い❤️



AirPods エアーポッズ　エアポッズ　イヤフォン　ワイヤレスイヤフォン　アニメ　エアーポッド　エアーポッドケース　エアーポッド　エアポッド"
5,473,2,1,新品、未使用,送料込み(出品者負担),ゆうゆうメルカリ便,奈良県,6870,1,2.0,"アップル エアーポッズ です。

両耳を出しただけの新品です。
ワイヤレス充電不可タイプですが、
こちらの方が安価で人気です。

充電ケースのみ出品です。
両耳、箱、ライトニングケーブルはつきません。
ご注意ください。

型番 MV7N2J/A

第1世代も充電できます。

24時間以内発送します。


帰宅後にはなりますが、
シリアルナンバーをお知らせすることも可能です。
誠実な対応心がけています。
評価参考にしてください。

ご希望があれば
個人情報を消した購入証明書をつけることができます。
ただし、両耳やケーブル含めた購入証明となりますのでご了承ください。
必要な方はご連絡ください。

安心のメルカリ便なので郵送事故も保証されます。


Apple AirPods エアーポッズ 第2世代

バラ売り
紛失
無くした
片耳
左耳
右耳
ケースだけ
充電器"
6,289,2,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),福岡県,1120,0,4.0,"ディズニーくまのプーさん＆ピグレットAirPodsケース♡

《こちらはくまのプーさん専用ページです。》
※即購入の方は上記の商品発送になります。
ピグレットや、まとめて購入ご希望の方はコメントもしくは
プロフィールより商品ページへお願いいたします♡

ピグレットもあります。お揃いもオススメですっ///

こちらの商品はケースを付けたまま充電も可能です。

可愛いお揃いのストラップ付♡

※こちらの商品はケースのみとなります。
本体は付属しておりません。


★新品未使用・送料無料★

◆取り扱いキャラクター◆

・プーさん
・ピグレット

◆対応機種◆

・Airpods第一世代
・Airpods第二世代

◆素材◆

・シリコン


※こちらは海外製品になります。
日本製とは検査基準が異なりますので、製造過程における
多少のインク汚れやプリントミス、傷などがある場合がございます。
海外製品にご理解頂ける方のみのご購入をお願いします。

◆配送方法◆
・普通郵便（定形外）
追加料金にて匿名配送への変更も可能ですので詳しくはお問合せください。

お客様都合での返金返品はお受けしておりませんのでご希望の種類にお間違いがないか必ずご確認ください。

#Airpods　#Airpodsケース　#Airpodsカバー　#ディズニー　#くまのプーさん　#プーさん　#ピグレット　#Apple　#アップル　#エアポッズ"
7,80,1,0,新品、未使用,送料込み(出品者負担),らくらくメルカリ便,宮城県,18650,1,5.0,"【保証書付・新品・未使用】AirPods第二世代！ 

2019年11月9日ヨドバシカメラ内appleshopで購入したAirPodsです。
※領収書参照

試着したところ私の耳にあっていないため出品いたします。
ワイヤレス充電非対応です

値下げは対応致しかねます。

※保険証はお付けしますが、領収書はカード番号が記載されていますので、おつけできません。"
8,351,8,2,新品、未使用,送料込み(出品者負担),ゆうゆうメルカリ便,埼玉県,20500,1,3.0,"Apple製
最高級品ワイヤレスイヤホン
定価25,080円


AirPods2（ワイヤレス充電対応）
第二世代 PSEマーク取得済み
【完全正規品】となります。
MRXJ2J/A
 Apple AirPods with Wireless Charging Case

2019年3月に発売した新型AirPodsです。
新型の中でも、最高級品のワイヤレス充電機能付きのAirPodsです。

基本的には入金後すぐに発送が出来ることが多いです。
仕事や時間帯によっては当日にならないため、発送出来なかったことでクレームはご遠慮くださいませ。
よろしくお願いします。

完全新品未開封品として出品致します。
シュリンク付きのため何も封を開けていない状態となります。
※送料と梱包費用も無料で承っております。

値下げは不可となります。
この文を読まずに値下げ交渉した場合は、回答せずに質問を削除致しますのでご了承お願いします。
複数個ご購入の場合、送料分など少しお値引きは可能となります。
また、意味不明な質問に関してもコメントを削除させて頂きます。

到着の時間帯希望がある場合は必ず、購入後最初のコメントにて指示をお願いします。
すぐに発送の場合もございますので、後でご連絡頂いても対応致しかねますので予めよろしくお願いします。

☆対象機種目安
iPhone11
iPhone11 Pro
iPhone11 Pro MAX
iPhoneXs MAX
iPhoneXs
iPhoneXR
iPhoneX
iPhone8
iPhone8 Plus
iPhone7

関連ワード
第2世代
第二世代
エアーポッツ
エアーポッズ
Bluetooth
ブルートゥース
イヤホン
イヤフォン
最新エアーポッヅ
最新エアーポッド
新型Airpods
新型エアーポッズ
エアーポッツ
エアーポッズ
エアポッヅ
エアポッズ
エアポッツ
エアーポッヅ 正規品
エアーポッヅ正規品
エアーポッズ正規品
エアーポッズ 正規品"
9,289,2,0,新品、未使用,送料込み(出品者負担),普通郵便(定形、定形外),福岡県,1120,0,4.0,"ディズニーくまのプーさん＆ピグレットAirPodsケース♡

《こちらはピグレット専用ページです。》
※即購入の方は上記の商品発送になります。
くまのプーさんや、まとめて購入ご希望の方はコメントもしくは
プロフィールより商品ページへお願いいたします♡

くまのプーさんもあります。お揃いもオススメですっ///

こちらの商品はケースを付けたまま充電も可能です。

可愛いお揃いのストラップ付♡
　
※こちらの商品はケースのみとなります。
本体は付属しておりません。


★新品未使用・送料無料★

◆取り扱いキャラクター◆

・プーさん
・ピグレット

◆対応機種◆

・Airpods第一世代
・Airpods第二世代

◆素材◆

・シリコン


※こちらは海外製品になります。
日本製とは検査基準が異なりますので、製造過程における
多少のインク汚れやプリントミス、傷などがある場合がございます。
海外製品にご理解頂ける方のみのご購入をお願いします。

◆配送方法◆
・普通郵便（定形外）
追加料金にて匿名配送への変更も可能ですので詳しくはお問合せください。

お客様都合での返金返品はお受けしておりませんのでご希望の種類にお間違いがないか必ずご確認ください。

#Airpods　#Airpodsケース　#Airpodsカバー　#ディズニー　#くまのプーさん　#プーさん　#ピグレット　#Apple　#アップル　#エアポッズ"
